[1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1], 72
[1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0], 72
[0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1], 72
[0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0], 72
[1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1], 73
[0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0], 73
[0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0], 74
[0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0], 74
[1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1], 74
[1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1], 74
[0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1], 77
[1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1], 77
[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0], 77
[0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0], 77
[1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0], 79
[0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1], 79
[0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0], 81
[1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1], 81
[1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1], 97
[0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0], 97
