[1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1], 6.0
[0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0], 6.0
[0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0], 10.0
[1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1], 10.0
[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1], 17.0
[0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0], 17.0
[1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0], 18.0
[0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0], 18.0
[1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1], 18.0
[0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1], 18.0
[0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0], 21.0
[1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1], 21.0
[0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0], 21.0
[1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1], 21.0
[1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1], 23.0
[0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0], 23.0
[1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1], 25.0
[0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0], 25.0
[0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0], 33.0
[1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1], 33.0
[1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1], 37.0
[0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0], 37.0
[0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0], 38.0
[1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1], 38.0
