[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0], 56
[0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1], 56
[1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0], 56
[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1], 56
[1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0], 67
[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1], 67
[1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0], 69
[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1], 69
[0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1], 71
[1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0], 71
[1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0], 90
[0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1], 90
[1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0], 91
[1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0], 91
[0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1], 91
[0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1], 91
[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1], 92
[1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0], 92
[1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0], 100
[0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1], 100
[0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1], 103
[1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0], 103
